stock_id,stock_name,status,hotflow_score,score_pr,pr_rank_momentum,pr_rank_slope_5d,pr_hot_persistence_20d,pr_amount_z_60d,pr_amount_expansion,pr_rs_combined,pr_weekly_ma20_slope,amount_rank,rank_score,rank_change,rank_momentum,rank_slope_5d,hot_persistence_20d,amount_expansion,amount_z_60d,rs,rs_ma20,rs_trend,weekly_ma20_slope,ret_5d_pct,ret_20d_pct,rs_strength_20d_pct,close,amount_million,classify_reason
5483,中美晶,A 主流形成中,93.07,100.0,97.8,99.5,86.2,97.2,94.1,85.4,65.1,29,72,26.0,26.0,16.6,9,3.36,3.62,0.004211,0.003666,1,2.7775,17.16,20.36,17.16,198.0,10153.3,主流評分排前 0%（全市場 PR） | 近 5 日名次推進速度 +16.6 > 0（資金推升中） | 近 20 日上榜 9 天（持續被關注） | 相對強弱轉強 + 週線 20 均向上（中長期多頭）
2379,瑞昱,A 主流形成中,92.82,99.8,95.0,93.3,93.3,94.4,89.5,88.7,88.4,39,62,9.0,9.0,2.3,19,2.4,2.46,0.017631,0.015907,1,13.1825,3.24,26.95,23.74,829.0,7910.2,主流評分排前 0%（全市場 PR） | 近 5 日名次推進速度 +2.3 > 0（資金推升中） | 近 20 日上榜 19 天（持續被關注） | 相對強弱轉強 + 週線 20 均向上（中長期多頭）
6271,同欣電,A 主流形成中,92.72,99.7,98.4,93.6,84.8,98.6,98.8,80.9,78.0,22,79,31.0,31.0,2.4,8,5.43,4.32,0.006115,0.005376,1,5.555,14.31,15.23,12.02,287.5,12268.0,主流評分排前 0%（全市場 PR） | 近 5 日名次推進速度 +2.4 > 0（資金推升中） | 近 20 日上榜 8 天（持續被關注） | 相對強弱轉強 + 週線 20 均向上（中長期多頭）
2327,國巨*,A 主流形成中,92.43,99.5,92.1,90.4,97.1,91.8,90.5,91.5,96.1,2,99,1.0,1.0,0.5,20,2.5,1.96,0.024246,0.02083,1,37.525,8.57,34.75,31.54,1140.0,81558.2,主流評分排前 0%（全市場 PR） | 近 5 日名次推進速度 +0.5 > 0（資金推升中） | 近 20 日上榜 20 天（持續被關注） | 相對強弱轉強 + 週線 20 均向上（中長期多頭）
8021,尖點,A 主流形成中,92.2,99.4,99.5,99.5,81.9,85.1,90.2,87.8,91.0,42,59,139.0,59.0,11.8,6,2.45,1.24,0.011931,0.011614,1,16.205,-1.58,26.07,22.86,561.0,7553.2,主流評分排前 1%（全市場 PR） | 近 5 日名次推進速度 +11.8 > 0（資金推升中） | 近 20 日上榜 6 天（持續被關注） | 相對強弱轉強 + 週線 20 均向上（中長期多頭）
8150,南茂,A 主流形成中,91.53,99.1,99.5,96.6,91.6,95.5,92.4,71.5,57.5,20,81,42.0,42.0,5.8,17,2.94,2.72,0.002276,0.002155,1,1.974,3.88,8.52,5.31,107.0,12562.3,主流評分排前 1%（全市場 PR） | 近 5 日名次推進速度 +5.8 > 0（資金推升中） | 近 20 日上榜 17 天（持續被關注） | 相對強弱轉強 + 週線 20 均向上（中長期多頭）
6127,九豪,A 主流形成中,91.53,99.1,98.8,97.7,83.6,92.2,93.6,83.9,63.6,66,35,124.0,35.0,7.0,7,3.27,2.08,0.002061,0.001813,1,2.522,13.87,19.04,15.83,96.9,4811.4,主流評分排前 1%（全市場 PR） | 近 5 日名次推進速度 +7.0 > 0（資金推升中） | 近 20 日上榜 7 天（持續被關注） | 相對強弱轉強 + 週線 20 均向上（中長期多頭）
8043,蜜望實,A 主流形成中,90.47,98.9,98.0,96.1,87.4,81.1,83.1,92.2,78.8,74,27,108.0,27.0,5.4,10,1.8,0.77,0.00453,0.004222,1,5.9025,6.5,35.67,32.46,213.0,4345.6,主流評分排前 1%（全市場 PR） | 近 5 日名次推進速度 +5.4 > 0（資金推升中） | 近 20 日上榜 10 天（持續被關注） | 相對強弱轉強 + 週線 20 均向上（中長期多頭）
4958,臻鼎-KY,A 主流形成中,89.91,98.8,92.9,91.4,97.1,86.0,81.1,81.9,93.2,10,91,2.0,2.0,0.8,20,1.67,1.27,0.012825,0.012556,1,20.83,2.73,15.96,12.75,603.0,31223.1,主流評分排前 1%（全市場 PR） | 近 5 日名次推進速度 +0.8 > 0（資金推升中） | 近 20 日上榜 20 天（持續被關注） | 相對強弱轉強 + 週線 20 均向上（中長期多頭）
2464,盟立,C 過熱或排除,89.39,98.6,99.5,99.5,80.0,92.9,91.0,58.1,75.0,48,53,68.0,53.0,10.6,5,2.57,2.15,0.004041,0.003619,0,4.859,8.88,2.7,-0.51,190.0,6505.9,相對強弱未轉強（弱於大盤）
