stock_id,stock_name,status,hotflow_score,score_pr,pr_rank_momentum,pr_rank_slope_5d,pr_hot_persistence_20d,pr_amount_z_60d,pr_amount_expansion,pr_rs_combined,pr_weekly_ma20_slope,amount_rank,rank_score,rank_change,rank_momentum,rank_slope_5d,hot_persistence_20d,amount_expansion,amount_z_60d,rs,rs_ma20,rs_trend,weekly_ma20_slope,ret_5d_pct,ret_20d_pct,rs_strength_20d_pct,close,amount_million,classify_reason
3008,大立光,A 主流形成中,95.42,100.0,95.9,94.1,94.9,96.4,95.4,94.6,98.4,6,95,8.0,8.0,1.8,19,4.41,3.66,0.112147,0.087938,1,79.9107,24.58,60.78,46.15,5145.0,28978.7,主流評分排前 0%（全市場 PR） | 近 5 日名次推進速度 +1.8 > 0（資金推升中） | 近 20 日上榜 19 天（持續被關注） | 相對強弱轉強 + 週線 20 均向上（中長期多頭）
6488,環球晶,C 過熱或排除,94.6,99.9,95.5,99.6,86.6,94.6,93.6,96.3,93.0,13,88,6.0,6.0,25.8,9,3.58,2.57,0.023977,0.019746,1,23.3375,41.94,72.41,57.78,1100.0,18151.0,近 5 日漲幅 41.9% > 25% — 漲過頭
3532,台勝科,C 過熱或排除,94.01,99.7,99.6,96.6,75.1,97.6,97.5,98.4,86.3,51,50,173.0,50.0,6.8,2,6.58,4.05,0.008621,0.006854,1,10.2995,46.48,92.46,77.82,395.5,6087.2,近 5 日漲幅 46.5% > 25% — 漲過頭
6182,合晶,C 過熱或排除,93.95,99.6,99.6,99.6,75.1,98.1,99.6,98.8,66.8,11,90,109.0,90.0,18.0,2,9.6,4.79,0.002485,0.001989,1,2.9783,45.22,96.89,82.26,114.0,19648.5,近 5 日漲幅 45.2% > 25% — 漲過頭
6207,雷科,A 主流形成中,93.86,99.4,99.6,98.2,77.2,96.7,96.7,99.6,72.3,40,61,128.0,61.0,10.6,3,5.83,3.69,0.003575,0.002785,1,4.1985,21.93,103.22,88.59,164.0,6949.8,主流評分排前 1%（全市場 PR） | 近 5 日名次推進速度 +10.6 > 0（資金推升中） | 近 20 日上榜 3 天（持續被關注） | 相對強弱轉強 + 週線 20 均向上（中長期多頭）
8996,高力,A 主流形成中,93.25,99.3,97.5,96.1,90.3,91.4,85.1,92.0,93.9,43,58,23.0,23.0,5.9,14,1.86,1.87,0.033023,0.026651,1,27.6807,24.18,52.41,37.78,1515.0,6673.3,主流評分排前 1%（全市場 PR） | 近 5 日名次推進速度 +5.9 > 0（資金推升中） | 近 20 日上榜 14 天（持續被關注） | 相對強弱轉強 + 週線 20 均向上（中長期多頭）
3362,先進光,C 過熱或排除,92.4,99.1,98.7,96.7,71.4,98.5,99.6,97.0,64.4,65,36,36.0,36.0,7.2,1,10.32,5.0,0.004523,0.003197,1,2.5965,21.35,82.82,68.19,207.5,4636.6,量能爆衝（Z=5.0）但近 20 日僅上榜 1 天 — 缺乏持續性
2464,盟立,A 主流形成中,91.46,99.0,99.6,97.3,82.4,91.2,89.7,83.5,75.0,57,44,228.0,44.0,8.8,6,2.55,1.75,0.003618,0.003692,1,4.9025,13.7,33.33,18.7,166.0,5531.5,主流評分排前 1%（全市場 PR） | 近 5 日名次推進速度 +8.8 > 0（資金推升中） | 近 20 日上榜 6 天（持續被關注） | 相對強弱轉強 + 週線 20 均向上（中長期多頭）
6209,今國光,A 主流形成中,91.11,98.8,98.7,99.6,82.4,98.8,99.0,71.9,45.1,31,70,36.0,36.0,17.4,6,7.96,5.17,0.002086,0.001905,1,1.2055,18.15,21.29,6.66,95.7,9162.5,主流評分排前 1%（全市場 PR） | 近 5 日名次推進速度 +17.4 > 0（資金推升中） | 近 20 日上榜 6 天（持續被關注） | 相對強弱轉強 + 週線 20 均向上（中長期多頭）
3189,景碩,A 主流形成中,90.7,98.7,93.8,91.5,94.9,85.6,83.6,88.5,93.5,10,91,2.0,2.0,0.4,19,1.75,1.09,0.015389,0.015325,1,25.1361,6.97,40.08,25.45,706.0,21170.3,主流評分排前 1%（全市場 PR） | 近 5 日名次推進速度 +0.4 > 0（資金推升中） | 近 20 日上榜 19 天（持續被關注） | 相對強弱轉強 + 週線 20 均向上（中長期多頭）
2344,華邦電,C 過熱或排除,90.66,98.5,93.1,91.5,97.9,86.8,82.9,96.1,69.6,3,98,1.0,1.0,0.4,20,1.72,1.22,0.004338,0.00361,1,3.6036,33.56,72.29,57.66,199.0,45156.3,近 5 日漲幅 33.6% > 25% — 漲過頭
5425,台半,A 主流形成中,89.83,98.4,99.0,96.9,85.0,89.0,89.6,75.7,61.6,64,37,74.0,37.0,7.4,8,2.54,1.45,0.002354,0.002246,1,2.294,23.71,24.28,9.65,108.0,4667.1,主流評分排前 2%（全市場 PR） | 近 5 日名次推進速度 +7.4 > 0（資金推升中） | 近 20 日上榜 8 天（持續被關注） | 相對強弱轉強 + 週線 20 均向上（中長期多頭）
6415,矽力*-KY,C 過熱或排除,89.48,98.2,99.6,96.4,89.1,86.3,84.5,60.0,91.1,53,48,49.0,48.0,6.2,12,1.81,1.16,0.012468,0.012845,0,16.5458,16.14,12.82,-1.81,572.0,5666.8,相對強弱未轉強（弱於大盤）
5328,華容,B 觀察中,89.45,98.1,96.4,93.8,75.1,95.4,95.8,95.2,38.2,88,13,45.0,13.0,1.4,2,4.69,3.14,0.00112,0.000911,1,0.9105,14.6,66.34,51.71,51.4,3204.7,主流評分排前 2%（未完全達 A 級條件）
2409,友達,A 主流形成中,89.4,97.9,99.6,93.1,93.2,87.8,85.9,88.4,26.6,19,82,46.0,46.0,1.1,18,1.97,1.27,0.000572,0.000543,1,0.522,14.38,40.0,25.37,26.25,14674.9,主流評分排前 2%（全市場 PR） | 近 5 日名次推進速度 +1.1 > 0（資金推升中） | 近 20 日上榜 18 天（持續被關注） | 相對強弱轉強 + 週線 20 均向上（中長期多頭）
2618,長榮航,A 主流形成中,88.72,97.8,99.6,98.5,78.6,99.6,96.6,75.4,3.9,33,68,111.0,68.0,12.3,4,5.8,5.45,0.000927,0.000839,1,0.0675,14.23,24.05,9.42,42.55,8178.0,主流評分排前 2%（全市場 PR） | 近 5 日名次推進速度 +12.3 > 0（資金推升中） | 近 20 日上榜 4 天（持續被關注） | 相對強弱轉強 + 週線 20 均向上（中長期多頭）
1503,士電,A 主流形成中,88.59,97.6,95.5,93.4,82.4,89.7,92.1,81.5,57.3,95,6,165.0,6.0,1.2,6,3.09,1.52,0.005155,0.004999,1,1.9625,8.99,30.66,16.03,236.5,2826.1,主流評分排前 2%（全市場 PR） | 近 5 日名次推進速度 +1.2 > 0（資金推升中） | 近 20 日上榜 6 天（持續被關注） | 相對強弱轉強 + 週線 20 均向上（中長期多頭）
8261,富鼎,A 主流形成中,88.55,97.5,94.9,92.6,78.6,90.9,90.0,81.8,73.2,97,4,17.0,4.0,0.8,4,2.61,1.74,0.004261,0.003913,1,4.345,24.92,31.21,16.57,195.5,2782.8,主流評分排前 2%（全市場 PR） | 近 5 日名次推進速度 +0.8 > 0（資金推升中） | 近 20 日上榜 4 天（持續被關注） | 相對強弱轉強 + 週線 20 均向上（中長期多頭）
2455,全新,C 過熱或排除,88.44,97.3,96.1,98.4,87.9,90.2,89.3,46.9,88.1,30,71,9.0,9.0,10.9,10,2.48,1.59,0.009329,0.008933,0,11.79,20.39,6.87,-7.77,428.0,10236.2,相對強弱未轉強（弱於大盤）
2492,華新科,C 過熱或排除,88.23,97.2,94.6,95.1,78.6,77.5,76.9,99.6,89.9,87,14,3.0,3.0,3.9,4,1.4,0.47,0.011814,0.009008,1,15.0925,33.01,123.97,109.33,542.0,3240.3,近 5 日漲幅 33.0% > 25% — 漲過頭
2353,宏碁,A 主流形成中,87.11,97.0,97.9,95.7,85.0,84.4,88.8,79.3,25.3,75,26,68.0,26.0,5.2,8,2.43,1.0,0.000763,0.000807,1,0.4975,-3.31,27.5,12.87,35.0,3774.4,主流評分排前 3%（全市場 PR） | 近 5 日名次推進速度 +5.2 > 0（資金推升中） | 近 20 日上榜 8 天（持續被關注） | 相對強弱轉強 + 週線 20 均向上（中長期多頭）
2883,凱基金,A 主流形成中,86.72,96.9,96.7,91.5,86.6,83.5,87.2,88.2,23.8,68,33,14.0,14.0,0.4,9,2.11,0.95,0.000658,0.000572,1,0.4742,7.09,39.81,25.18,30.2,4395.9,主流評分排前 3%（全市場 PR） | 近 5 日名次推進速度 +0.4 > 0（資金推升中） | 近 20 日上榜 9 天（持續被關注） | 相對強弱轉強 + 週線 20 均向上（中長期多頭）
8064,東捷,A 主流形成中,86.59,96.7,93.8,91.5,82.4,84.8,84.1,76.2,74.9,99,2,73.0,2.0,0.4,6,1.78,1.01,0.003357,0.003296,1,4.901,11.19,24.7,10.06,154.0,2709.0,主流評分排前 3%（全市場 PR） | 近 5 日名次推進速度 +0.4 > 0（資金推升中） | 近 20 日上榜 6 天（持續被關注） | 相對強弱轉強 + 週線 20 均向上（中長期多頭）
2603,長榮,C 過熱或排除,85.32,96.6,97.2,97.6,94.9,96.1,92.9,11.2,49.1,24,77,17.0,17.0,9.2,19,3.3,3.32,0.004229,0.004973,0,1.3925,-13.0,-8.71,-23.34,194.0,11765.0,相對強弱未轉強（弱於大盤）
2308,台達電,C 過熱或排除,85.19,96.4,93.8,90.8,97.9,74.1,70.1,59.1,97.5,7,94,2.0,2.0,0.1,20,1.08,0.29,0.046973,0.051745,0,59.075,-2.05,12.53,-2.1,2155.0,25027.4,相對強弱未轉強（弱於大盤）
