stock_id,stock_name,status,hotflow_score,score_pr,pr_rank_momentum,pr_rank_slope_5d,pr_hot_persistence_20d,pr_amount_z_60d,pr_amount_expansion,pr_rs_combined,pr_weekly_ma20_slope,amount_rank,rank_score,rank_change,rank_momentum,rank_slope_5d,hot_persistence_20d,amount_expansion,amount_z_60d,rs,rs_ma20,rs_trend,weekly_ma20_slope,ret_5d_pct,ret_20d_pct,rs_strength_20d_pct,close,amount_million,classify_reason
3693,營邦,B 觀察中,62.03,85.9,51.3,43.8,36.8,93.0,92.4,94.6,45.3,123,0,2.0,0.0,0.0,0,2.0,1.19,0.014634,0.013248,1,0.7868,-0.45,29.2,28.75,666.0,1295.4,主流評分排前 14%（未完全達 A 級條件）
6610,6610,B 觀察中,61.99,85.6,51.3,43.8,36.8,92.2,93.4,95.8,42.5,607,0,150.0,0.0,0.0,0,2.21,1.04,0.000831,0.000787,1,0.6752,-8.81,33.1,32.65,37.8,54.8,主流評分排前 14%（未完全達 A 級條件）
1303,南亞,A 主流形成中,61.79,85.4,9.2,91.2,96.9,49.9,64.9,83.0,88.8,12,89,-2.0,-2.0,5.0,20,0.68,-0.6,0.004867,0.004759,1,7.0247,-5.74,10.75,10.3,221.5,12341.1,主流評分排前 15%（全市場 PR） | 近 5 日名次推進速度 +5.0 > 0（資金推升中） | 近 20 日上榜 20 天（持續被關注） | 相對強弱轉強 + 週線 20 均向上（中長期多頭）
6668,中揚光,B 觀察中,61.64,85.2,51.3,43.8,36.8,97.2,97.6,91.0,21.8,329,0,137.0,0.0,0.0,0,4.33,2.21,0.000938,0.000879,1,0.3122,6.22,20.28,19.83,42.7,238.9,主流評分排前 15%（未完全達 A 級條件）
6617,共信-KY,B 觀察中,61.61,85.0,51.3,43.8,36.8,83.8,85.4,95.2,77.2,456,0,185.0,0.0,0.0,0,1.18,0.18,0.002758,0.002629,1,2.8805,-6.69,30.59,30.15,125.5,105.4,主流評分排前 15%（未完全達 A 級條件）
2606,裕民,B 觀察中,61.57,84.8,51.3,43.8,76.2,75.8,70.5,77.8,46.7,272,0,84.0,0.0,0.0,1,0.78,-0.16,0.001639,0.001635,1,0.8134,-4.11,8.12,7.67,74.6,336.0,主流評分排前 15%（未完全達 A 級條件）
6274,台燿,C 過熱或排除,61.42,84.6,7.2,93.9,96.9,83.6,82.6,6.8,96.4,19,82,-6.0,-6.0,8.0,20,1.07,0.16,0.030102,0.031066,0,21.5691,1.86,-11.33,-11.77,1370.0,9114.8,相對強弱未轉強（弱於大盤）
2881,富邦金,A 主流形成中,61.39,84.4,3.8,93.5,85.4,61.9,69.5,87.6,78.6,80,21,-13.0,-13.0,7.6,6,0.76,-0.45,0.003318,0.003111,1,3.1668,1.34,16.6,16.15,151.0,2400.0,主流評分排前 16%（全市場 PR） | 近 5 日名次推進速度 +7.6 > 0（資金推升中） | 近 20 日上榜 6 天（持續被關注） | 相對強弱轉強 + 週線 20 均向上（中長期多頭）
4939,亞電,B 觀察中,61.2,84.2,51.3,43.8,76.2,65.5,53.5,94.8,70.5,187,0,-17.0,0.0,0.0,1,0.56,-0.37,0.001714,0.001753,1,2.2838,-12.85,29.78,29.34,78.0,620.9,主流評分排前 16%（未完全達 A 級條件）
6271,同欣電,B 觀察中,61.14,84.0,51.3,43.8,76.2,66.7,59.5,85.6,72.1,115,0,127.0,0.0,0.0,1,0.62,-0.36,0.004856,0.004663,1,2.4287,-0.9,13.33,12.89,221.0,1370.5,主流評分排前 16%（未完全達 A 級條件）
