stock_id,stock_name,status,hotflow_score,score_pr,pr_rank_momentum,pr_rank_slope_5d,pr_hot_persistence_20d,pr_amount_z_60d,pr_amount_expansion,pr_rs_combined,pr_weekly_ma20_slope,amount_rank,rank_score,rank_change,rank_momentum,rank_slope_5d,hot_persistence_20d,amount_expansion,amount_z_60d,rs,rs_ma20,rs_trend,weekly_ma20_slope,ret_5d_pct,ret_20d_pct,rs_strength_20d_pct,close,amount_million,classify_reason
8261,富鼎,A 主流形成中,93.67,100.0,98.8,98.2,82.4,96.5,97.1,89.3,77.1,52,49,24.0,24.0,8.0,6,4.02,2.78,0.005474,0.004254,1,5.3475,13.49,28.42,26.28,244.0,5841.1,主流評分排前 0%（全市場 PR） | 近 5 日名次推進速度 +8.0 > 0（資金推升中） | 近 20 日上榜 6 天（持續被關注） | 相對強弱轉強 + 週線 20 均向上（中長期多頭）
6672,騰輝電子-KY,B 觀察中,93.43,99.8,99.5,98.6,74.0,98.3,95.9,92.3,82.8,61,40,33.0,33.0,8.7,2,3.38,3.85,0.006551,0.005176,1,7.4295,18.94,35.81,33.67,292.0,4879.7,主流評分排前 0%（未完全達 A 級條件）
6139,亞翔,A 主流形成中,93.4,99.7,96.4,99.5,89.8,96.2,92.6,78.3,87.9,33,68,12.0,12.0,19.2,12,2.31,2.7,0.019699,0.017631,1,12.48,6.68,13.73,11.59,878.0,8897.6,主流評分排前 0%（全市場 PR） | 近 5 日名次推進速度 +19.2 > 0（資金推升中） | 近 20 日上榜 12 天（持續被關注） | 相對強弱轉強 + 週線 20 均向上（中長期多頭）
2484,希華,A 主流形成中,93.27,99.5,99.5,98.0,84.1,94.9,95.8,94.3,58.5,63,38,62.0,38.0,7.6,7,3.33,2.17,0.001723,0.001378,1,2.0225,7.87,39.13,36.99,76.8,4632.3,主流評分排前 0%（全市場 PR） | 近 5 日名次推進速度 +7.6 > 0（資金推升中） | 近 20 日上榜 7 天（持續被關注） | 相對強弱轉強 + 週線 20 均向上（中長期多頭）
2882,國泰金,A 主流形成中,92.75,99.4,99.5,98.5,94.3,92.9,88.1,87.3,51.0,49,52,33.0,33.0,8.4,19,1.83,1.76,0.002378,0.002255,1,1.495,-8.23,25.0,22.86,106.0,6108.3,主流評分排前 1%（全市場 PR） | 近 5 日名次推進速度 +8.4 > 0（資金推升中） | 近 20 日上榜 19 天（持續被關注） | 相對強弱轉強 + 週線 20 均向上（中長期多頭）
6213,聯茂,A 主流形成中,92.45,99.2,95.3,93.7,88.8,93.1,92.8,91.1,84.2,23,78,9.0,9.0,1.9,11,2.32,1.76,0.007774,0.006094,1,8.2625,23.75,32.76,30.62,346.5,12468.0,主流評分排前 1%（全市場 PR） | 近 5 日名次推進速度 +1.9 > 0（資金推升中） | 近 20 日上榜 11 天（持續被關注） | 相對強弱轉強 + 週線 20 均向上（中長期多頭）
4958,臻鼎-KY,A 主流形成中,92.25,99.1,92.3,91.3,97.8,94.3,91.1,84.0,92.0,12,89,2.0,2.0,0.7,20,2.13,2.01,0.013013,0.012346,1,20.1825,-9.66,19.34,17.2,580.0,38090.8,主流評分排前 1%（全市場 PR） | 近 5 日名次推進速度 +0.7 > 0（資金推升中） | 近 20 日上榜 20 天（持續被關注） | 相對強弱轉強 + 週線 20 均向上（中長期多頭）
6451,訊芯-KY,A 主流形成中,91.99,98.9,97.2,97.9,89.8,94.6,94.1,64.3,92.3,41,60,14.0,14.0,6.8,12,2.51,2.05,0.013417,0.013152,1,21.005,6.6,5.1,2.95,598.0,7098.5,主流評分排前 1%（全市場 PR） | 近 5 日名次推進速度 +6.8 > 0（資金推升中） | 近 20 日上榜 12 天（持續被關注） | 相對強弱轉強 + 週線 20 均向上（中長期多頭）
5328,華容,A 主流形成中,91.44,98.8,98.3,95.6,76.2,95.8,96.5,99.5,46.3,80,21,47.0,21.0,4.2,3,3.63,2.57,0.001575,0.001054,1,1.2475,24.25,95.0,92.86,70.2,3233.1,主流評分排前 1%（全市場 PR） | 近 5 日名次推進速度 +4.2 > 0（資金推升中） | 近 20 日上榜 3 天（持續被關注） | 相對強弱轉強 + 週線 20 均向上（中長期多頭）
3236,千如,B 觀察中,90.83,98.6,98.2,95.5,74.0,98.5,98.8,88.4,51.9,81,20,71.0,20.0,4.0,2,6.22,3.96,0.001514,0.001335,1,1.5555,-4.93,26.17,24.02,67.5,3187.6,主流評分排前 1%（未完全達 A 級條件）
3149,正達,A 主流形成中,90.77,98.5,97.2,94.9,78.1,92.2,94.3,95.5,59.6,87,14,43.0,14.0,2.8,4,2.54,1.52,0.002194,0.001973,1,2.0625,2.95,45.75,43.61,97.8,2878.6,主流評分排前 2%（全市場 PR） | 近 5 日名次推進速度 +2.8 > 0（資金推升中） | 近 20 日上榜 4 天（持續被關注） | 相對強弱轉強 + 週線 20 均向上（中長期多頭）
6446,藥華藥,A 主流形成中,89.99,98.3,92.3,97.4,86.4,84.6,80.2,91.4,92.2,79,22,2.0,2.0,6.4,9,1.44,0.72,0.025913,0.022121,1,20.43,8.96,33.99,31.85,1155.0,3265.0,主流評分排前 2%（全市場 PR） | 近 5 日名次推進速度 +6.4 > 0（資金推升中） | 近 20 日上榜 9 天（持續被關注） | 相對強弱轉強 + 週線 20 均向上（中長期多頭）
3037,欣興,C 過熱或排除,89.79,98.2,94.5,92.9,94.3,99.5,96.4,41.2,95.2,3,98,7.0,7.0,1.6,19,3.61,4.57,0.021875,0.021297,0,31.895,0.72,-4.88,-7.02,975.0,76001.0,相對強弱未轉強（弱於大盤）
6271,同欣電,A 主流形成中,89.08,98.0,93.4,96.8,80.2,97.0,97.0,62.3,76.9,37,64,5.0,5.0,5.8,5,3.87,2.96,0.005721,0.005333,1,5.265,5.15,4.29,2.15,255.0,7507.5,主流評分排前 2%（全市場 PR） | 近 5 日名次推進速度 +5.8 > 0（資金推升中） | 近 20 日上榜 5 天（持續被關注） | 相對強弱轉強 + 週線 20 均向上（中長期多頭）
