stock_id,stock_name,status,hotflow_score,score_pr,pr_rank_momentum,pr_rank_slope_5d,pr_hot_persistence_20d,pr_amount_z_60d,pr_amount_expansion,pr_rs_combined,pr_weekly_ma20_slope,amount_rank,rank_score,rank_change,rank_momentum,rank_slope_5d,hot_persistence_20d,amount_expansion,amount_z_60d,rs,rs_ma20,rs_trend,weekly_ma20_slope,ret_5d_pct,ret_20d_pct,rs_strength_20d_pct,close,amount_million,classify_reason
3042,晶技,A 主流形成中,94.83,100.0,98.3,95.5,87.0,97.6,98.3,96.2,79.7,15,86,45.0,45.0,8.1,13,6.13,4.05,0.005111,0.004298,1,6.3805,8.81,52.84,46.15,228.5,14865.2,主流評分排前 0%（全市場 PR） | 近 5 日名次推進速度 +8.1 > 0（資金推升中） | 近 20 日上榜 13 天（持續被關注） | 相對強弱轉強 + 週線 20 均向上（中長期多頭）
2059,川湖,C 過熱或排除,93.51,99.8,99.4,99.5,74.2,99.5,96.5,81.1,98.8,16,85,55.0,55.0,20.0,4,4.76,4.91,0.151998,0.119138,1,106.5,33.89,24.79,18.1,6795.0,14173.0,近 5 日漲幅 33.9% > 25% — 漲過頭
6446,藥華藥,A 主流形成中,92.44,99.5,94.2,99.5,85.0,91.0,88.7,91.0,92.0,48,53,21.0,21.0,13.8,11,2.52,2.11,0.022145,0.020014,1,20.14,9.76,39.24,32.54,990.0,4719.2,主流評分排前 0%（全市場 PR） | 近 5 日名次推進速度 +13.8 > 0（資金推升中） | 近 20 日上榜 11 天（持續被關注） | 相對強弱轉強 + 週線 20 均向上（中長期多頭）
2478,大毅,B 觀察中,92.3,99.3,97.6,95.2,69.3,98.8,99.5,99.5,74.5,61,40,207.0,40.0,8.0,2,7.48,4.85,0.003736,0.002805,1,4.152,16.78,108.75,102.05,167.0,3726.9,主流評分排前 1%（未完全達 A 級條件）
2327,國巨*,A 主流形成中,91.76,99.1,88.4,91.5,97.4,89.4,87.0,99.5,93.4,4,97,6.0,6.0,4.1,20,2.41,1.92,0.018477,0.015084,1,24.8475,-2.36,96.9,90.2,826.0,41490.9,主流評分排前 1%（全市場 PR） | 近 5 日名次推進速度 +4.1 > 0（資金推升中） | 近 20 日上榜 20 天（持續被關注） | 相對強弱轉強 + 週線 20 均向上（中長期多頭）
8996,高力,C 過熱或排除,90.53,98.8,89.0,99.5,85.0,94.8,84.9,81.8,94.3,27,74,7.0,7.0,19.7,11,2.21,2.84,0.029751,0.025674,1,27.9491,26.67,26.07,19.37,1330.0,7742.9,近 5 日漲幅 26.7% > 25% — 漲過頭
2484,希華,C 過熱或排除,89.75,98.6,97.2,94.8,65.1,96.7,97.2,96.7,56.8,64,37,54.0,37.0,7.4,1,5.06,3.73,0.00136,0.001135,1,1.6245,17.15,56.3,49.6,60.8,3703.6,量能爆衝（Z=3.7）但近 20 日僅上榜 1 天 — 缺乏持續性
2368,金像電,A 主流形成中,89.45,98.3,92.2,95.8,93.5,95.0,85.1,56.6,95.8,12,89,15.0,15.0,8.7,19,2.21,2.84,0.033442,0.031047,1,34.835,17.25,7.55,0.86,1495.0,17974.6,主流評分排前 2%（全市場 PR） | 近 5 日名次推進速度 +8.7 > 0（資金推升中） | 近 20 日上榜 19 天（持續被關注） | 相對強弱轉強 + 週線 20 均向上（中長期多頭）
6197,佳必琪,B 觀察中,89.32,98.1,96.2,93.9,65.1,93.9,89.9,94.8,83.5,71,30,31.0,30.0,6.0,1,2.7,2.61,0.007673,0.006327,1,7.94,10.29,46.58,39.88,343.0,3304.5,主流評分排前 2%（未完全達 A 級條件）
6451,訊芯-KY,A 主流形成中,88.17,97.9,98.1,90.2,86.2,76.7,76.9,88.7,92.2,57,44,85.0,44.0,3.1,12,1.71,0.85,0.013779,0.013386,1,22.0525,-6.53,34.94,28.24,616.0,4050.9,主流評分排前 2%（全市場 PR） | 近 5 日名次推進速度 +3.1 > 0（資金推升中） | 近 20 日上榜 12 天（持續被關注） | 相對強弱轉強 + 週線 20 均向上（中長期多頭）
