stock_id,stock_name,status,hotflow_score,score_pr,pr_rank_momentum,pr_rank_slope_5d,pr_hot_persistence_20d,pr_amount_z_60d,pr_amount_expansion,pr_rs_combined,pr_weekly_ma20_slope,amount_rank,rank_score,rank_change,rank_momentum,rank_slope_5d,hot_persistence_20d,amount_expansion,amount_z_60d,rs,rs_ma20,rs_trend,weekly_ma20_slope,ret_5d_pct,ret_20d_pct,rs_strength_20d_pct,close,amount_million,classify_reason
5425,台半,C 過熱或排除,94.8,100.0,99.6,98.4,85.7,99.6,99.0,93.7,63.8,24,77,290.0,77.0,11.7,8,7.49,5.22,0.002845,0.002334,1,2.4845,32.67,46.29,38.37,134.0,15916.4,近 5 日漲幅 32.7% > 25% — 漲過頭
2492,華新科,C 過熱或排除,94.41,99.9,93.6,99.6,82.2,96.3,98.7,99.0,91.0,20,81,3.0,3.0,20.4,6,6.43,3.32,0.01225,0.009835,1,17.57,28.36,79.47,71.55,577.0,22527.4,近 5 日漲幅 28.4% > 25% — 漲過頭
1303,南亞,C 過熱或排除,94.29,99.7,97.8,90.4,94.7,99.6,95.7,98.7,64.3,10,91,30.0,30.0,0.8,19,4.25,5.37,0.00328,0.002448,1,2.631,32.05,77.38,69.46,154.5,34330.5,近 5 日漲幅 32.1% > 25% — 漲過頭
2481,強茂,C 過熱或排除,94.23,99.6,99.6,99.6,92.2,93.3,88.9,92.2,69.8,27,74,264.0,74.0,13.6,17,2.64,2.37,0.004108,0.003393,1,3.8264,35.79,44.4,36.48,193.5,12575.3,近 5 日漲幅 35.8% > 25% — 漲過頭
8261,富鼎,C 過熱或排除,93.56,99.4,99.0,96.6,78.6,97.8,97.0,94.5,77.7,58,43,373.0,43.0,8.2,4,4.88,3.97,0.00552,0.004096,1,5.5075,39.78,47.73,39.81,260.0,5689.9,近 5 日漲幅 39.8% > 25% — 漲過頭
3675,德微,C 過熱或排除,92.35,99.3,97.9,95.2,71.4,99.6,99.6,88.9,86.5,69,32,452.0,32.0,6.4,1,9.03,6.3,0.009458,0.007881,1,11.1075,40.09,33.38,25.46,445.5,4494.7,近 5 日漲幅 40.1% > 25% — 漲過頭 | 量能爆衝（Z=6.3）但近 20 日僅上榜 1 天 — 缺乏持續性
3374,精材,C 過熱或排除,91.24,99.1,99.6,98.5,82.2,92.4,90.9,78.2,71.2,42,59,66.0,59.0,11.8,6,2.91,2.16,0.006444,0.00556,1,4.105,26.46,17.64,9.72,303.5,8964.3,近 5 日漲幅 26.5% > 25% — 漲過頭
3450,聯鈞,A 主流形成中,90.89,99.0,94.0,96.4,93.1,88.0,81.8,83.0,89.1,28,73,4.0,4.0,8.0,18,2.01,1.57,0.012993,0.011379,1,13.7975,20.71,22.16,14.24,612.0,12504.0,主流評分排前 1%（全市場 PR） | 近 5 日名次推進速度 +8.0 > 0（資金推升中） | 近 20 日上榜 18 天（持續被關注） | 相對強弱轉強 + 週線 20 均向上（中長期多頭）
8150,南茂,A 主流形成中,90.85,98.8,96.3,97.8,91.5,90.3,88.0,83.3,56.1,40,61,20.0,20.0,10.7,16,2.49,1.82,0.002261,0.002182,1,1.859,11.05,22.7,14.78,106.5,9236.2,主流評分排前 1%（全市場 PR） | 近 5 日名次推進速度 +10.7 > 0（資金推升中） | 近 20 日上榜 16 天（持續被關注） | 相對強弱轉強 + 週線 20 均向上（中長期多頭）
2409,友達,A 主流形成中,90.75,98.7,96.6,97.0,94.7,95.4,93.3,79.4,28.7,14,87,22.0,22.0,8.5,19,3.32,3.04,0.000617,0.000558,1,0.5925,20.54,19.06,11.14,29.05,27827.8,主流評分排前 1%（全市場 PR） | 近 5 日名次推進速度 +8.5 > 0（資金推升中） | 近 20 日上榜 19 天（持續被關注） | 相對強弱轉強 + 週線 20 均向上（中長期多頭）
