stock_id,stock_name,status,hotflow_score,score_pr,pr_rank_momentum,pr_rank_slope_5d,pr_hot_persistence_20d,pr_amount_z_60d,pr_amount_expansion,pr_rs_combined,pr_weekly_ma20_slope,amount_rank,rank_score,rank_change,rank_momentum,rank_slope_5d,hot_persistence_20d,amount_expansion,amount_z_60d,rs,rs_ma20,rs_trend,weekly_ma20_slope,ret_5d_pct,ret_20d_pct,rs_strength_20d_pct,close,amount_million,classify_reason
8261,富鼎,C 過熱或排除,93.81,100.0,97.7,99.6,80.7,99.6,99.6,86.3,77.1,35,66,23.0,23.0,16.7,5,6.32,4.77,0.005354,0.004142,1,5.3725,38.48,27.39,21.6,246.5,8217.2,近 5 日漲幅 38.5% > 25% — 漲過頭
2481,強茂,C 過熱或排除,93.42,99.9,94.5,99.6,92.2,95.8,92.6,89.1,70.2,22,79,5.0,5.0,21.6,17,2.82,2.59,0.004235,0.003436,1,3.8414,39.29,32.65,26.87,195.0,13988.8,近 5 日漲幅 39.3% > 25% — 漲過頭
3481,群創,C 過熱或排除,93.19,99.7,93.5,94.1,97.8,96.0,96.0,95.7,54.9,3,98,3.0,3.0,3.6,20,3.64,2.66,0.001507,0.001209,1,1.7483,30.21,51.86,46.07,69.4,76176.3,近 5 日漲幅 30.2% > 25% — 漲過頭
5347,世界,A 主流形成中,91.92,99.6,95.1,99.6,92.2,95.7,90.3,81.7,57.1,23,78,7.0,7.0,22.7,17,2.41,2.57,0.004344,0.003764,1,1.965,16.62,21.21,15.43,200.0,13558.8,主流評分排前 0%（全市場 PR） | 近 5 日名次推進速度 +22.7 > 0（資金推升中） | 近 20 日上榜 17 天（持續被關注） | 相對強弱轉強 + 週線 20 均向上（中長期多頭）
3374,精材,C 過熱或排除,91.9,99.4,96.2,99.6,84.3,94.5,92.9,82.6,71.4,28,73,14.0,14.0,20.5,7,2.9,2.18,0.006776,0.005605,1,4.19,33.05,22.11,16.33,312.0,9387.5,近 5 日漲幅 33.0% > 25% — 漲過頭
6116,彩晶,A 主流形成中,91.89,99.3,99.6,97.5,84.3,97.3,98.5,92.9,22.5,39,62,42.0,42.0,9.6,7,5.77,3.14,0.000421,0.00039,1,0.4232,16.87,42.12,36.34,19.4,7639.9,主流評分排前 1%（全市場 PR） | 近 5 日名次推進速度 +9.6 > 0（資金推升中） | 近 20 日上榜 7 天（持續被關注） | 相對強弱轉強 + 週線 20 均向上（中長期多頭）
6683,雍智科技,A 主流形成中,91.63,99.1,98.7,98.5,78.6,97.8,97.0,62.4,97.3,32,69,32.0,32.0,11.9,4,3.94,3.41,0.042134,0.036234,1,59.3725,12.46,7.78,1.99,1940.0,8498.0,主流評分排前 1%（全市場 PR） | 近 5 日名次推進速度 +11.9 > 0（資金推升中） | 近 20 日上榜 4 天（持續被關注） | 相對強弱轉強 + 週線 20 均向上（中長期多頭）
2379,瑞昱,A 主流形成中,91.6,99.0,93.5,94.7,91.1,91.4,85.3,90.5,86.6,50,51,3.0,3.0,4.8,15,1.9,1.53,0.01744,0.014954,1,10.84,18.44,36.1,30.32,803.0,5541.6,主流評分排前 1%（全市場 PR） | 近 5 日名次推進速度 +4.8 > 0（資金推升中） | 近 20 日上榜 15 天（持續被關注） | 相對強弱轉強 + 週線 20 均向上（中長期多頭）
3149,正達,A 主流形成中,91.21,98.8,97.9,94.7,76.7,94.8,95.2,95.5,59.7,77,24,36.0,24.0,4.8,3,3.44,2.3,0.002215,0.001906,1,2.1045,15.91,50.0,44.21,102.0,3670.6,主流評分排前 1%（全市場 PR） | 近 5 日名次推進速度 +4.8 > 0（資金推升中） | 近 20 日上榜 3 天（持續被關注） | 相對強弱轉強 + 週線 20 均向上（中長期多頭）
2409,友達,C 過熱或排除,90.4,98.7,94.0,91.4,94.6,96.3,93.5,91.8,29.6,10,91,4.0,4.0,1.5,19,3.09,2.73,0.000662,0.000565,1,0.607,27.62,38.64,32.85,30.5,27267.8,近 5 日漲幅 27.6% > 25% — 漲過頭
