stock_id,stock_name,status,hotflow_score,score_pr,pr_rank_momentum,pr_rank_slope_5d,pr_hot_persistence_20d,pr_amount_z_60d,pr_amount_expansion,pr_rs_combined,pr_weekly_ma20_slope,amount_rank,rank_score,rank_change,rank_momentum,rank_slope_5d,hot_persistence_20d,amount_expansion,amount_z_60d,rs,rs_ma20,rs_trend,weekly_ma20_slope,ret_5d_pct,ret_20d_pct,rs_strength_20d_pct,close,amount_million,classify_reason
6139,亞翔,A 主流形成中,94.96,100.0,96.4,99.5,90.1,97.9,95.7,86.6,90.3,20,81,13.0,13.0,23.0,13,2.46,2.9,0.021222,0.017816,1,15.08,17.9,21.81,21.21,955.0,9775.9,主流評分排前 0%（全市場 PR） | 近 5 日名次推進速度 +23.0 > 0（資金推升中） | 近 20 日上榜 13 天（持續被關注） | 相對強弱轉強 + 週線 20 均向上（中長期多頭）
3008,大立光,A 主流形成中,94.47,99.8,93.9,97.3,94.2,94.8,94.4,88.0,98.9,15,86,4.0,4.0,5.0,19,2.11,1.41,0.097334,0.096534,1,114.6462,-15.53,24.61,24.01,4380.0,16846.7,主流評分排前 0%（全市場 PR） | 近 5 日名次推進速度 +5.0 > 0（資金推升中） | 近 20 日上榜 19 天（持續被關注） | 相對強弱轉強 + 週線 20 均向上（中長期多頭）
2472,立隆電,A 主流形成中,94.31,99.7,99.5,99.5,87.6,96.8,96.8,77.0,89.5,26,75,34.0,34.0,15.8,10,2.74,2.02,0.009167,0.008177,1,13.8825,4.83,11.19,10.59,412.5,7131.9,主流評分排前 0%（全市場 PR） | 近 5 日名次推進速度 +15.8 > 0（資金推升中） | 近 20 日上榜 10 天（持續被關注） | 相對強弱轉強 + 週線 20 均向上（中長期多頭）
6446,藥華藥,A 主流形成中,94.12,99.5,97.7,98.5,86.6,92.7,90.1,94.2,93.5,61,40,18.0,18.0,8.5,9,1.6,1.0,0.028222,0.022492,1,21.765,15.98,36.56,35.96,1270.0,3692.7,主流評分排前 0%（全市場 PR） | 近 5 日名次推進速度 +8.5 > 0（資金推升中） | 近 20 日上榜 9 天（持續被關注） | 相對強弱轉強 + 週線 20 均向上（中長期多頭）
5328,華容,A 主流形成中,93.86,99.4,99.5,99.5,78.2,99.5,98.8,98.5,53.4,42,59,38.0,38.0,13.9,4,5.21,3.9,0.001438,0.001081,1,1.6025,11.55,63.38,62.79,64.7,5082.6,主流評分排前 1%（全市場 PR） | 近 5 日名次推進速度 +13.9 > 0（資金推升中） | 近 20 日上榜 4 天（持續被關注） | 相對強弱轉強 + 週線 20 均向上（中長期多頭）
2882,國泰金,A 主流形成中,93.7,99.2,98.4,99.5,94.2,97.0,93.8,84.9,53.0,28,73,21.0,21.0,16.3,19,2.03,2.16,0.002256,0.002272,1,1.5435,-10.18,18.44,17.84,101.5,6947.3,主流評分排前 1%（全市場 PR） | 近 5 日名次推進速度 +16.3 > 0（資金推升中） | 近 20 日上榜 19 天（持續被關注） | 相對強弱轉強 + 週線 20 均向上（中長期多頭）
2484,希華,A 主流形成中,93.19,99.1,96.7,99.5,85.2,96.5,97.4,90.0,62.1,49,52,14.0,14.0,14.2,8,3.0,1.91,0.001538,0.001394,1,2.1718,3.44,27.44,26.84,69.2,4378.2,主流評分排前 1%（全市場 PR） | 近 5 日名次推進速度 +14.2 > 0（資金推升中） | 近 20 日上榜 8 天（持續被關注） | 相對強弱轉強 + 週線 20 均向上（中長期多頭）
2379,瑞昱,A 主流形成中,93.07,98.9,96.0,92.6,92.6,92.5,89.6,93.8,88.4,43,58,12.0,12.0,1.5,18,1.56,0.98,0.0174,0.015521,1,12.7225,-13.0,35.0,34.4,783.0,4861.5,主流評分排前 1%（全市場 PR） | 近 5 日名次推進速度 +1.5 > 0（資金推升中） | 近 20 日上榜 18 天（持續被關注） | 相對強弱轉強 + 週線 20 均向上（中長期多頭）
2404,漢唐,A 主流形成中,92.96,98.8,98.1,99.5,91.3,88.9,84.5,84.5,92.1,31,70,20.0,20.0,19.0,16,1.29,0.69,0.030222,0.027455,1,17.31,6.25,17.75,17.15,1360.0,6403.5,主流評分排前 1%（全市場 PR） | 近 5 日名次推進速度 +19.0 > 0（資金推升中） | 近 20 日上榜 16 天（持續被關注） | 相對強弱轉強 + 週線 20 均向上（中長期多頭）
2327,國巨*,A 主流形成中,92.35,98.6,93.5,91.1,97.8,87.4,87.1,94.8,96.0,3,98,3.0,3.0,0.9,20,1.41,0.51,0.023111,0.020182,1,36.525,-2.35,40.92,40.32,1040.0,42593.9,主流評分排前 1%（全市場 PR） | 近 5 日名次推進速度 +0.9 > 0（資金推升中） | 近 20 日上榜 20 天（持續被關注） | 相對強弱轉強 + 週線 20 均向上（中長期多頭）
